title,pubDate,guid,link,description
"Ukraine war: Kyiv terrain will slow Russian troops, say Ukraine generals","Tue, 15 Mar 2022 00:52:17 GMT",https://www.bbc.co.uk/news/world-europe-60745493,https://www.bbc.co.uk/news/world-europe-60745493?at_medium=RSS&at_campaign=KARANGA,"Rivers and marshes help to protect the capital city, but it is still vulnerable to Russian missiles."
How to sponsor Ukrainian refugees and offer them a UK home,"Mon, 14 Mar 2022 17:55:20 GMT",https://www.bbc.co.uk/news/60735121,https://www.bbc.co.uk/news/60735121?at_medium=RSS&at_campaign=KARANGA,"The government has announced details of the ""Homes For Ukraine"" scheme"
War in Ukraine: What happened on day 19 of Russia's invasion,"Mon, 14 Mar 2022 22:51:09 GMT",https://www.bbc.co.uk/news/world-europe-60741338,https://www.bbc.co.uk/news/world-europe-60741338?at_medium=RSS&at_campaign=KARANGA,"Drone footage shows destruction of Mariupol, and protesters target an oligarch's London mansion."
Mass graves in Ukraine: Battered cities are digging makeshift burial sites,"Mon, 14 Mar 2022 12:25:35 GMT",https://www.bbc.co.uk/news/world-europe-60729206,https://www.bbc.co.uk/news/world-europe-60729206?at_medium=RSS&at_campaign=KARANGA,Street cleaners are collecting bodies as besieged locals resort to burying civilians in trenches.
WATCH: Residents rescued after Kyiv apartment block strike,"Mon, 14 Mar 2022 07:54:49 GMT",https://www.bbc.co.uk/news/world-europe-60733921,https://www.bbc.co.uk/news/world-europe-60733921?at_medium=RSS&at_campaign=KARANGA,At least one person was killed when the residential building in the Ukrainian capital was hit.
Ukraine war: Drone shots show Mariupol devastated by fighting,"Mon, 14 Mar 2022 13:34:51 GMT",https://www.bbc.co.uk/news/world-europe-60733927,https://www.bbc.co.uk/news/world-europe-60733927?at_medium=RSS&at_campaign=KARANGA,Thousands of civilians have been trapped in the Ukrainian port city for nearly two weeks
Newspaper headlines: 'Rush to take in Ukrainians' and 'you're Putin us up mate',"Mon, 14 Mar 2022 23:59:40 GMT",https://www.bbc.co.uk/news/blogs-the-papers-60745253,https://www.bbc.co.uk/news/blogs-the-papers-60745253?at_medium=RSS&at_campaign=KARANGA,"Most papers lead on a scheme for the public to host refugees, as protesters occupy an oligarch's mansion."
March 4 Justice: Has anything changed for Australian women?,"Tue, 15 Mar 2022 00:08:15 GMT",https://www.bbc.co.uk/news/world-australia-60732889,https://www.bbc.co.uk/news/world-australia-60732889?at_medium=RSS&at_campaign=KARANGA,"One year ago, rape and misconduct allegations in Canberra sparked massive protests nationwide."
Science and tech: The app founder inspiring kids,"Tue, 15 Mar 2022 00:05:54 GMT",https://www.bbc.co.uk/news/science-environment-60736708,https://www.bbc.co.uk/news/science-environment-60736708?at_medium=RSS&at_campaign=KARANGA,Pearce Jarrett is the founder of an award-winning app but didn't originally think it was a career for him.
How barista training opens doors for refugees,"Tue, 15 Mar 2022 00:02:43 GMT",https://www.bbc.co.uk/news/business-60683648,https://www.bbc.co.uk/news/business-60683648?at_medium=RSS&at_campaign=KARANGA,Pranav Chopra founded a social enterprise scheme that empowers refugees into work.
'Double tap' attacks in Yemen's civil war,"Tue, 15 Mar 2022 00:03:55 GMT",https://www.bbc.co.uk/news/world-middle-east-60742504,https://www.bbc.co.uk/news/world-middle-east-60742504?at_medium=RSS&at_campaign=KARANGA,The country has seen some of the worst violence of the conflict in the past 12 months.
Baftas 2022: Encanto director takes glasses campaigner to London ceremony,"Mon, 14 Mar 2022 16:27:33 GMT",https://www.bbc.co.uk/news/entertainment-arts-60740945,https://www.bbc.co.uk/news/entertainment-arts-60740945?at_medium=RSS&at_campaign=KARANGA,12-year-old Lowri was invited to the Baftas after asking Disney to portray more characters in glasses.
Hamilton to change name to include mother's surname,"Mon, 14 Mar 2022 15:44:43 GMT",https://www.bbc.co.uk/sport/formula1/60738120,https://www.bbc.co.uk/sport/formula1/60738120?at_medium=RSS&at_campaign=KARANGA,Seven-time world champion Lewis Hamilton says he will change his name to incorporate his mother's surname.
"Inflation: Sports bras in, doughnuts out of cost of living measure","Mon, 14 Mar 2022 14:57:40 GMT",https://www.bbc.co.uk/news/business-60734386,https://www.bbc.co.uk/news/business-60734386?at_medium=RSS&at_campaign=KARANGA,Pet collars and frozen Yorkshire puddings are other goods now used to measure changes in the cost of living.
